topic,subTopic,questionText,choiceA,choiceB,choiceC,choiceD,answer
mbedded system,Accumulator Processor,PUSH-POP mechanism is seen in _______,Stack pointer,Register,Memory,Index register,a
mbedded system,Accumulator Processor, What is the range of values an 8-bit register can store?,128,64,256,32,c
mbedded system,Accumulator Processor, What is the address range in 80286?,1 Mbytes,2 Mbytes,16 Mbytes,32 mbytes,c
mbedded system,Accumulator Processor, Which is the first 32-bit member of Intel?,8086,8088,80286,80386,d
mbedded system,Accumulator Processor, What supports multitasking in 80386?,Read mode,External paging memory management unit,Paging and segmentation,On-chip paging memory management unit,d
Memory Systems,DRAM Interfaces,In which pin does the data appear in the basic DRAM interfacing?,dout pin,din pin,clock,interrupt pin,a
Memory Systems,DRAM Interfaces,What is the duration for memory refresh to remain compatible?,20 microseconds,12 microseconds,15 microseconds,10 microseconds,c
Memory Systems,DRAM Interfaces,Which interfacing method lowers the speed of the processor?,basic DRAM interface,page mode interface,page interleaving,burst mode interface,a
Memory Systems,DRAM Interfaces,What is EDO RAM?,extreme data operation,extended direct operation,extended data out,extended DRAM out,c
Memory Systems,DRAM Interfaces,What is RDRAM?,refresh DRAM,recycle DRAM,Rambus DRAM,refreshing DRAM,c
Memory Systems,DRAM Interfaces,Which of the following can transfer up to 1.6 billion bytes per second?,DRAM,RDRAM,EDO RAM,SDRAM,b
Memory Systems,DRAM Interfaces,Which of the following cycle is larger than the access time?,write cycle,set up time,read cycle,hold time,c
Memory Systems,DRAM Interfaces,Which mode of operation selects an internal page of memory in the DRAM interfacing?,page interleaving,page mode,burst mode,EDO RAM,b
Memory Systems,DRAM Interfaces,What is the maximum time that the RAS signal can be asserted in the page mode operation?,5 microseconds,10 microseconds,15 microseconds,20 microseconds,b
Memory Systems,DRAM Interfaces, Which of the following mode of operation in the DRAM interfacing has a page boundary?,burst mode,EDO RAM,page mode,page interleaving,c
Memory Systems,DRAM Interfaces, Which mode offers the banking of memory in the DRAM interfacing technique?,page mode,basic DRAM interfacing,page interleaving,burst mode,c
Memory Systems,DRAM Interfaces, Which of the following has a fast page mode RAM?,burst mode,page interleaving,EDO memory,page mode,c
Memory Systems,DRAM Interfaces, Which mode reduces the need for fast static RAMs?,page mode,page interleaving,burst mode,EDO memory,c
Memory Systems,DRAM Interfaces, Which of the following is also known as hyper page mode enabled DRAM?,page mode,EDO DRAM,burst EDO DRAM,page interleaving,b
Memory Systems,DRAM Interfaces, What does BEDO DRAM stand for?,burst EDO DRAM,buffer EDO DRAM,BIBO EDO DRAM,bilateral EDO DRAM,a
Memory Systems,DRAM Techniques,Which is the very basic technique of refreshing DRAM?,refresh cycle,burst refresh,distributive refresh,software refresh,a
Memory Systems,DRAM Techniques,How is the refresh rate calculated?,by refresh time,by the refresh cycle,by refresh cycle and refresh time,refresh frequency and refresh cycle,c
Memory Systems,DRAM Techniques,Which is the commonly used refresh rate?,125 microseconds,120 microseconds,130 microseconds,135 microseconds,a
Memory Systems,DRAM Techniques,How can we calculate the length of the refresh cycle?,twice of normal access,thrice of normal access,five times of normal access,six times of normal access,a
Memory Systems,DRAM Techniques,What type of error occurs in the refresh cycle of the DRAM?,errors in data,power loss,timing issues,not accessing data,c
Memory Systems,DRAM Techniques,What is the worst case delay of the burst refresh in 4M by 1 DRAM?,0.4ms,0.2ms,170ns,180ns,b
Memory Systems,DRAM Techniques,Which refresh techniques depends on the size of time critical code for calculating the refresh cycle?,burst refresh,distributed refresh,refresh cycle,software refresh,b
Memory Systems,DRAM Techniques,Which of the following uses a timer for refresh technique?,RAS,CBR,software refresh,CAS,c
Memory Systems,DRAM Techniques,What is the main disadvantage in the software refresh of the DRAM?,timer,delay,programming delay,debugging,d
Memory Systems,DRAM Techniques, Which refresh technique is useful for low power consumption?,Software refresh,CBR,RAS,Burst refresh,b
Memory Systems,DRAM Techniques, Which refreshing techniques generate a recycled address?,RAS,CBR,Distributed refresh,Software refresh,a
Memory Systems,DRAM Techniques, Which of the following uses a software refresh in the DRAM?,8086,80386,Pentium,Apple II personal computer,d
Memory Systems,DRAM Techniques, How do CBR works?,by asserting CAS before RAS,by asserting CAS after RAS,by asserting RAS before CAS,by asserting CAS only,a
Memory Systems,DRAM Techniques, Which of the refresh circuit is similar to CBR?,software refresh,hidden refresh,burst refresh,distribute refresh,b
Memory Systems,DRAM Techniques, Which technology is standardized in DRAM for determining the maximum time interval between the refresh cycle?,IEEE,RAPID,JEDEC,UNESCO,c
Memory Systems,DRAM,Which memory storage is widely used in PCs and Embedded Systems?,SRAM,DRAM,Flash memory,EEPROM,b
Memory Systems,DRAM,Which of the following memory technology is highly denser?,DRAM,SRAM,EPROM,Flash memory,a
Memory Systems,DRAM,Which is the storage element in DRAM?,inductor,capacitor,resistor,mosfet,b
Memory Systems,DRAM,Which one of the following is a storage element in SRAM?,capacitor,inductor,transistor,resistor,c
Memory Systems,DRAM,Which of the following is more volatile?,SRAM,DRAM,ROM,RAM,b
Memory Systems,DRAM,What is the size of a trench capacitor in DRAM?,1 Mb,4-256 Mb,8-128 Mb,64-128 Mb,b
Memory Systems,DRAM,Which of the following capacitor can store more data in DRAM?,planar capacitor,trench capacitor,stacked-cell,non-polar capacitor,c
Memory Systems,DRAM,"In which of the memories, does the data disappear?",SRAM,DRAM,Flash memory,EPROM,b
Memory Systems,DRAM,Which of the following is the main factor which determines the memory capacity?,number of transistors,number of capacitors,size of the transistor,size of the capacitor,a
Memory Systems,DRAM, What does VRAM stand for?,video RAM,verilog RAM,virtual RAM,volatile RAM,a
Memory Systems,DRAM, What does TCR stand for?,temperature-compensated refresh,temperature-compensated recovery,texas CAS-RAS,temperature CAS-RAS,a
Memory Systems,Memory Management,Which of the following have a 16 Mbytes addressed range?,PowerPC,M68000,DSP56000,TMS 320,b
Memory Systems,Memory Management,Which of the following can destroy the accuracy in the algorithms?,delays,error signal,interrupt,mmu,a
Memory Systems,Memory Management,How many numbers of ways are possible for allocating the memory to the modular blocks?,1,2,3,4,c
Memory Systems,Memory Management,Which of the following is replaced with the absolute addressing mode?,relative addressing mode,protective addressing mode,virtual addressing mode,temporary addressing mode,a
Memory Systems,Memory Management,What is the main purpose of the memory management unit?,address translation,large storage,reduce the size,provides address space,a
Memory Systems,Memory Management,Which of the following provides stability to the multitasking system?,memory,DRAM,SRAM,Memory partitioning,d
Memory Systems,Memory Management,Which of the following is used by the M68000 family?,M68000,80386,8086,80286,a
Memory Systems,Memory Management,What can be done for the fine grain protection of the processor?,add extra description bit,add error signal,add wait stage,remains unchanged,a
Memory Systems,Memory Management,Which of the following technique is used by the UNIX operating system?,logical address memory,physical address memory,virtual memory technique,translational address,c
Memory Systems,Memory Management, Which of the following consist two lines of legs on both sides of a plastic or ceramic body?,SIMM,DIMM,Zig-zag,Dual in-line,d
Memory Systems,Memory Management, Which package has high memory speed and change in the supply?,DIP,SIMM,DIMM,zig-zag,c
Memory Systems,Memory Management, Which is a subassembly package?,dual-in-line,zig-zag,simm,ceramic shell,c
Memory Systems,Memory Management, What is the required voltage of DIMM?,2V,2.2V,5V,3.3V,d
Memory Systems,Memory Management, Which memory package has a single row of pins?,SIMM,DIP,SIP,zig-zag,c
Memory Systems,Memory Management, What is the access time of MCM51000AP10?,100ns,80ns,60ns,40ns,a
Memory Systems,Memory Organization,How many data lines does 256*4 have?,256,8,4,32,c
Memory Systems,Memory Organization,How is the number of chips required is determined?,number of data lines,the minimum number of data,width of the data path from the processor,number of data lines and the width of the data path from the processor,d
Memory Systems,Memory Organization,Where is memory address stored in a C program?,stack,pointer,register,accumulator,b
Memory Systems,Memory Organization,Which is the term that is used to refer the order of bytes?,endianness,memory organisation,bit,register,a
Memory Systems,Memory Organization,Which of the following processors uses big endian representation?,8086,ARM,PowerPC,Zilog Z80,c
Memory Systems,Memory Organization,Which statement is true for a cache memory?,memory unit which communicates directly with the CPU,provides backup storage,a very high-speed memory to increase the speed of the processor,secondary storage,c
Memory Systems,Memory Organization,Which of the following memory organisation have the entire memory available to the processor at all times?,segmented addressing,paging,virtual address,linear address,d
Memory Systems,Memory Organization,How many memory locations can be accessed by 8086?,1 M,2 M,3 M,4 M,a
Memory Systems,Memory Organization,Which of them is a memory that is allocated to the program in LIFO pattern?,stack,index,accumulator,base,a
Memory Systems,Memory Organization, What does SIMM stand for?,single in-line memory module,single interrupt memory module,single information memory module,same-in-line memory module,a
Memory Systems,Memory Organization, Which of the memory organisation is widely used in parity bit?,by 1 organisation,by 4 organisation,by 8 organisation,by 9 organisation,a
Memory Systems,Memory Organization, Which configuration of memory organisation replaces By 1 organisation?,by 4 organisation,by 8 organisation,by 9 organisation,by 16 organisation,a
Memory Systems,Memory Organization, Which shifting helps in finding the physical address in 8086?,shifting the segment by 8,shifting the segment by 6,shifting the segment by 4,shifting the segment by 2,c
Memory Systems,Memory Organization, Which memory organisation is supported in wider memories?,by 8 organisation,by 16 organisation,by 9 organisation,by 4 organisation,b
Memory Systems,Memory Organization, Which of the following is a plastic package used primarily for DRAM?,SIMM,DIMM,Zig-zag,Dual-in-line,c
Memory Systems,Memory Technology,Which is the most basic non-volatile memory?,Flash memory,PROM,EPROM,ROM,d
Memory Systems,Memory Technology,Who has invented flash memory?,Dr.Fujio Masuoka,John Ellis,Josh Fisher,John Ruttenberg,a
Memory Systems,Memory Technology,Which of the following is serial access memory?,RAM,Flash memory,Shifters,ROM,c
Memory Systems,Memory Technology,Which is the early form of non-volatile memory?,magnetic core memory,ferrimagnetic memory,anti-magnetic memory,anti-ferromagnetic,a
Memory Systems,Memory Technology,Which of the following memories has more speed in accessing data?,SRAM,DRAM,EPROM,EEPROM,a
Memory Systems,Memory Technology,"In which memory, the signals are multiplexed?",DRAM,SRAM,EPROM,EEPROM,a
Memory Systems,Memory Technology,How many main signals are used with memory chips?,2,4,6,8,b
Memory Systems,Memory Technology,What is the purpose of the address bus?,to provide data to and from the chip,to select a specified chip,to select a location within the memory chip,to select a read/write cycle,c
Memory Systems,Memory Technology,Which are the two main types of processor connection to the motherboard?,sockets and slots,sockets and pins,slots and pins,pins and ports,a
Memory Systems,Memory Technology, Which of the following has programmable hardware?,microcontroller,microprocessor,coprocessor,FPGA,d
Memory Systems,Memory Technology, Who invented TriMedia processor?,Intel,IBM,Apple,NXP Semiconductor,d
Memory Systems,SRAM,Why is SRAM more preferably in non-volatile memory?,low-cost,high-cost,low power consumption,transistor as a storage element,c
Memory Systems,SRAM,Which of the following ahs refreshes control mechanism?,DRAM,SRAM,Battery backed-up SRAM,Pseudo-static RAM,d
Memory Systems,SRAM,Which storage element is used by MAC and IBM PC?,CMOS,Transistor,Capacitor,Inductor,a
Memory Systems,SRAM,Which type of storage element of SRAM is very fast in accessing data but consumes lots of power?,TTL,CMOS,NAND,NOR,a
Memory Systems,SRAM,What is approximate data access time of SRAM?,4ns,10ns,2ns,60ns,a
Memory Systems,SRAM,Who proposed the miniature card format?,Intel,IBM,MIPS,Apple,a
Memory Systems,SRAM,How many MOSFETs are required for SRAM?,2,4,6,8,c
Memory Systems,SRAM,Which of the following is an SRAM?,1T-RAM,PROM,EEPROM,EPROM,a
Memory Systems,SRAM,Which of the following can access data even when the power supply is lost?,Non-volatile SRAM,DRAM,SRAM,RAM,a
Memory Systems,SRAM, Which of the following can easily convert to a non-volatile memory?,SRAM,DRAM,DDR SRAM,Asynchronous DRAM,a
